trip,mark,length,weight,year,section,species
1,0,95,10,1989,Johnsrud,RBT
1,0,95,10,1989,Johnsrud,RBT
1,0,127,15,1989,Johnsrud,RBT
1,0,378,485,1989,Johnsrud,RBT
1,0,380,455,1989,Johnsrud,RBT
1,0,312,270,1989,Johnsrud,RBT
1,0,309,250,1989,Johnsrud,RBT
1,0,312,270,1989,Johnsrud,RBT
1,0,312,270,1989,Johnsrud,RBT
1,0,308,270,1989,Johnsrud,RBT
1,0,255,160,1989,Johnsrud,RBT
1,0,312,265,1989,Johnsrud,RBT
1,0,280,195,1989,Johnsrud,RBT
1,0,306,235,1989,Johnsrud,RBT
1,0,271,170,1989,Johnsrud,RBT
1,0,304,240,1989,Johnsrud,RBT
1,0,263,170,1989,Johnsrud,RBT
1,0,249,150,1989,Johnsrud,RBT
1,0,182,60,1989,Johnsrud,RBT
1,0,160,45,1989,Johnsrud,RBT
1,0,210,85,1989,Johnsrud,RBT
1,0,162,40,1989,Johnsrud,RBT
1,0,176,55,1989,Johnsrud,RBT
1,0,183,60,1989,Johnsrud,RBT
1,0,209,80,1989,Johnsrud,RBT
1,0,182,60,1989,Johnsrud,RBT
1,0,169,45,1989,Johnsrud,RBT
1,0,210,85,1989,Johnsrud,RBT
1,0,189,110,1989,Johnsrud,RBT
1,0,170,100,1989,Johnsrud,RBT
1,0,230,40,1989,Johnsrud,RBT
1,0,228,30,1989,Johnsrud,RBT
1,0,161,40,1989,Johnsrud,RBT
1,0,148,30,1989,Johnsrud,RBT
1,0,161,40,1989,Johnsrud,RBT
1,0,165,35,1989,Johnsrud,RBT
1,0,170,45,1989,Johnsrud,RBT
1,0,125,20,1989,Johnsrud,RBT
1,0,156,30,1989,Johnsrud,RBT
1,0,202,75,1989,Johnsrud,RBT
1,0,188,60,1989,Johnsrud,RBT
1,0,228,110,1989,Johnsrud,RBT
1,0,232,120,1989,Johnsrud,RBT
1,0,182,60,1989,Johnsrud,RBT
1,0,99,10,1989,Johnsrud,RBT
1,0,192,60,1989,Johnsrud,RBT
1,0,213,80,1989,Johnsrud,RBT
1,0,179,45,1989,Johnsrud,RBT
1,0,182,40,1989,Johnsrud,RBT
1,0,101,10,1989,Johnsrud,RBT
1,0,147,25,1989,Johnsrud,RBT
1,0,171,40,1989,Johnsrud,RBT
1,0,182,40,1989,Johnsrud,RBT
1,0,142,15,1989,Johnsrud,RBT
1,0,160,30,1989,Johnsrud,RBT
1,0,220,80,1989,Johnsrud,RBT
1,0,200,60,1989,Johnsrud,RBT
1,0,172,30,1989,Johnsrud,RBT
1,0,125,15,1989,Johnsrud,RBT
1,0,120,10,1989,Johnsrud,RBT
1,0,157,20,1989,Johnsrud,RBT
1,0,246,105,1989,Johnsrud,RBT
1,0,142,15,1989,Johnsrud,RBT
1,0,127,20,1989,Johnsrud,RBT
1,0,190,50,1989,Johnsrud,RBT
1,0,207,70,1989,Johnsrud,RBT
1,0,166,25,1989,Johnsrud,RBT
1,0,145,50,1989,Johnsrud,RBT
1,0,114,10,1989,Johnsrud,RBT
1,0,166,30,1989,Johnsrud,RBT
1,0,96,10,1989,Johnsrud,RBT
1,0,88,10,1989,Johnsrud,RBT
1,0,151,10,1989,Johnsrud,RBT
1,0,126,10,1989,Johnsrud,RBT
1,0,132,15,1989,Johnsrud,RBT
1,0,153,20,1989,Johnsrud,RBT
1,0,83,10,1989,Johnsrud,RBT
1,0,120,10,1989,Johnsrud,RBT
1,0,374,525,1989,Johnsrud,RBT
1,0,422,525,1989,Johnsrud,RBT
1,0,326,295,1989,Johnsrud,RBT
1,0,315,240,1989,Johnsrud,RBT
1,0,334,290,1989,Johnsrud,RBT
1,0,277,195,1989,Johnsrud,RBT
1,0,372,395,1989,Johnsrud,RBT
1,0,289,245,1989,Johnsrud,RBT
1,0,300,265,1989,Johnsrud,RBT
1,0,307,260,1989,Johnsrud,RBT
1,0,297,225,1989,Johnsrud,RBT
1,0,277,170,1989,Johnsrud,RBT
1,0,340,425,1989,Johnsrud,RBT
1,0,275,200,1989,Johnsrud,RBT
1,0,307,270,1989,Johnsrud,RBT
1,0,282,195,1989,Johnsrud,RBT
1,0,262,185,1989,Johnsrud,RBT
1,0,263,160,1989,Johnsrud,RBT
1,0,240,140,1989,Johnsrud,RBT
1,0,242,135,1989,Johnsrud,RBT
1,0,203,85,1989,Johnsrud,RBT
1,0,220,110,1989,Johnsrud,RBT
1,0,181,65,1989,Johnsrud,RBT
1,0,220,100,1989,Johnsrud,RBT
1,0,170,55,1989,Johnsrud,RBT
1,0,172,55,1989,Johnsrud,RBT
1,0,178,50,1989,Johnsrud,RBT
1,0,168,50,1989,Johnsrud,RBT
1,0,224,110,1989,Johnsrud,RBT
1,0,205,80,1989,Johnsrud,RBT
1,0,156,35,1989,Johnsrud,RBT
1,0,171,55,1989,Johnsrud,RBT
1,0,179,60,1989,Johnsrud,RBT
1,0,174,50,1989,Johnsrud,RBT
1,0,199,75,1989,Johnsrud,RBT
1,0,136,25,1989,Johnsrud,RBT
1,0,144,40,1989,Johnsrud,RBT
1,0,182,60,1989,Johnsrud,RBT
1,0,107,20,1989,Johnsrud,RBT
1,0,178,50,1989,Johnsrud,RBT
1,0,150,50,1989,Johnsrud,RBT
1,0,148,35,1989,Johnsrud,RBT
1,0,140,35,1989,Johnsrud,RBT
1,0,114,25,1989,Johnsrud,RBT
1,0,107,20,1989,Johnsrud,RBT
1,0,257,180,1989,Johnsrud,RBT
1,0,319,255,1989,Johnsrud,RBT
1,0,367,500,1989,Johnsrud,RBT
1,0,346,350,1989,Johnsrud,RBT
1,0,325,320,1989,Johnsrud,RBT
1,0,290,230,1989,Johnsrud,RBT
1,0,329,320,1989,Johnsrud,RBT
1,0,403,565,1989,Johnsrud,RBT
1,0,292,240,1989,Johnsrud,RBT
1,0,313,280,1989,Johnsrud,RBT
1,0,305,280,1989,Johnsrud,RBT
1,0,322,270,1989,Johnsrud,RBT
1,0,326,315,1989,Johnsrud,RBT
1,0,278,205,1989,Johnsrud,RBT
1,0,261,170,1989,Johnsrud,RBT
1,0,298,230,1989,Johnsrud,RBT
1,0,324,325,1989,Johnsrud,RBT
1,0,280,205,1989,Johnsrud,RBT
1,0,302,240,1989,Johnsrud,RBT
1,0,320,320,1989,Johnsrud,RBT
1,0,298,250,1989,Johnsrud,RBT
1,0,298,270,1989,Johnsrud,RBT
1,0,290,240,1989,Johnsrud,RBT
1,0,321,315,1989,Johnsrud,RBT
1,0,271,185,1989,Johnsrud,RBT
1,0,267,180,1989,Johnsrud,RBT
1,0,272,195,1989,Johnsrud,RBT
1,0,254,170,1989,Johnsrud,RBT
1,0,260,150,1989,Johnsrud,RBT
1,0,273,205,1989,Johnsrud,RBT
1,0,241,160,1989,Johnsrud,RBT
1,0,248,180,1989,Johnsrud,RBT
1,0,241,150,1989,Johnsrud,RBT
1,0,212,120,1989,Johnsrud,RBT
1,0,262,185,1989,Johnsrud,RBT
1,0,245,150,1989,Johnsrud,RBT
1,0,139,50,1989,Johnsrud,RBT
1,0,230,130,1989,Johnsrud,RBT
1,0,238,135,1989,Johnsrud,RBT
1,0,208,100,1989,Johnsrud,RBT
1,0,223,125,1989,Johnsrud,RBT
1,0,121,50,1989,Johnsrud,RBT
1,0,204,100,1989,Johnsrud,RBT
1,0,229,155,1989,Johnsrud,RBT
1,0,188,90,1989,Johnsrud,RBT
1,0,188,85,1989,Johnsrud,RBT
1,0,221,110,1989,Johnsrud,RBT
1,0,194,95,1989,Johnsrud,RBT
1,0,221,120,1989,Johnsrud,RBT
1,0,238,140,1989,Johnsrud,RBT
1,0,242,140,1989,Johnsrud,RBT
1,0,232,150,1989,Johnsrud,RBT
1,0,233,120,1989,Johnsrud,RBT
1,0,160,50,1989,Johnsrud,RBT
1,0,192,65,1989,Johnsrud,RBT
1,0,197,65,1989,Johnsrud,RBT
1,0,153,30,1989,Johnsrud,RBT
1,0,185,55,1989,Johnsrud,RBT
1,0,220,105,1989,Johnsrud,RBT
1,0,173,50,1989,Johnsrud,RBT
1,0,181,60,1989,Johnsrud,RBT
1,0,182,55,1989,Johnsrud,RBT
1,0,154,60,1989,Johnsrud,RBT
1,0,167,50,1989,Johnsrud,RBT
1,0,203,70,1989,Johnsrud,RBT
1,0,143,30,1989,Johnsrud,RBT
1,0,151,45,1989,Johnsrud,RBT
1,0,153,40,1989,Johnsrud,RBT
1,0,165,50,1989,Johnsrud,RBT
1,0,153,35,1989,Johnsrud,RBT
1,0,156,40,1989,Johnsrud,RBT
1,0,204,70,1989,Johnsrud,RBT
1,0,138,25,1989,Johnsrud,RBT
1,0,151,40,1989,Johnsrud,RBT
1,0,166,50,1989,Johnsrud,RBT
1,0,145,40,1989,Johnsrud,RBT
1,0,150,40,1989,Johnsrud,RBT
1,0,173,55,1989,Johnsrud,RBT
1,0,121,20,1989,Johnsrud,RBT
1,0,152,30,1989,Johnsrud,RBT
1,0,151,40,1989,Johnsrud,RBT
1,0,136,25,1989,Johnsrud,RBT
1,0,123,20,1989,Johnsrud,RBT
1,0,127,20,1989,Johnsrud,RBT
1,0,167,55,1989,Johnsrud,RBT
1,0,145,30,1989,Johnsrud,RBT
1,0,140,40,1989,Johnsrud,RBT
1,0,129,20,1989,Johnsrud,RBT
1,0,118,20,1989,Johnsrud,RBT
1,0,135,20,1989,Johnsrud,RBT
1,0,124,20,1989,Johnsrud,RBT
1,0,141,25,1989,Johnsrud,RBT
1,0,165,45,1989,Johnsrud,RBT
1,0,159,40,1989,Johnsrud,RBT
1,0,161,50,1989,Johnsrud,RBT
1,0,128,25,1989,Johnsrud,RBT
1,0,102,10,1989,Johnsrud,RBT
1,0,108,10,1989,Johnsrud,RBT
1,0,132,30,1989,Johnsrud,RBT
1,0,75,10,1989,Johnsrud,RBT
1,0,127,25,1989,Johnsrud,RBT
1,0,87,10,1989,Johnsrud,RBT
1,0,122,30,1989,Johnsrud,RBT
1,0,118,10,1989,Johnsrud,RBT
1,0,266,195,1989,Johnsrud,RBT
1,0,272,170,1989,Johnsrud,RBT
1,0,277,200,1989,Johnsrud,RBT
1,0,267,170,1989,Johnsrud,RBT
1,0,298,295,1989,Johnsrud,RBT
1,0,257,140,1989,Johnsrud,RBT
1,0,282,175,1989,Johnsrud,RBT
1,0,265,185,1989,Johnsrud,RBT
1,0,278,200,1989,Johnsrud,RBT
1,0,252,160,1989,Johnsrud,RBT
1,0,250,140,1989,Johnsrud,RBT
1,0,240,135,1989,Johnsrud,RBT
1,0,291,225,1989,Johnsrud,RBT
1,0,254,140,1989,Johnsrud,RBT
1,0,262,165,1989,Johnsrud,RBT
1,0,239,115,1989,Johnsrud,RBT
1,0,214,80,1989,Johnsrud,RBT
1,0,222,110,1989,Johnsrud,RBT
1,0,258,160,1989,Johnsrud,RBT
1,0,185,70,1989,Johnsrud,RBT
1,0,173,55,1989,Johnsrud,RBT
1,0,174,55,1989,Johnsrud,RBT
1,0,202,70,1989,Johnsrud,RBT
1,0,176,50,1989,Johnsrud,RBT
1,0,159,50,1989,Johnsrud,RBT
1,0,173,60,1989,Johnsrud,RBT
1,0,174,60,1989,Johnsrud,RBT
1,0,172,60,1989,Johnsrud,RBT
1,0,143,35,1989,Johnsrud,RBT
1,0,159,40,1989,Johnsrud,RBT
1,0,145,30,1989,Johnsrud,RBT
1,0,157,40,1989,Johnsrud,RBT
1,0,142,30,1989,Johnsrud,RBT
1,0,171,50,1989,Johnsrud,RBT
1,0,193,65,1989,Johnsrud,RBT
1,0,198,70,1989,Johnsrud,RBT
1,0,168,50,1989,Johnsrud,RBT
1,0,200,85,1989,Johnsrud,RBT
1,0,162,45,1989,Johnsrud,RBT
1,0,201,90,1989,Johnsrud,RBT
1,0,179,50,1989,Johnsrud,RBT
1,0,167,50,1989,Johnsrud,RBT
1,0,183,65,1989,Johnsrud,RBT
1,0,133,30,1989,Johnsrud,RBT
1,0,133,25,1989,Johnsrud,RBT
1,0,222,120,1989,Johnsrud,RBT
1,0,145,40,1989,Johnsrud,RBT
1,0,175,55,1989,Johnsrud,RBT
1,0,229,120,1989,Johnsrud,RBT
1,0,194,75,1989,Johnsrud,RBT
1,0,116,20,1989,Johnsrud,RBT
1,0,122,25,1989,Johnsrud,RBT
1,0,91,10,1989,Johnsrud,RBT
1,0,92,10,1989,Johnsrud,RBT
1,0,146,30,1989,Johnsrud,RBT
1,0,228,140,1989,Johnsrud,RBT
1,0,156,35,1989,Johnsrud,RBT
1,0,154,40,1989,Johnsrud,RBT
1,0,175,60,1989,Johnsrud,RBT
1,0,182,65,1989,Johnsrud,RBT
1,0,124,25,1989,Johnsrud,RBT
1,0,106,20,1989,Johnsrud,RBT
1,0,310,270,1989,Johnsrud,RBT
1,0,309,295,1989,Johnsrud,RBT
1,0,305,255,1989,Johnsrud,RBT
1,0,335,325,1989,Johnsrud,RBT
1,0,179,55,1989,Johnsrud,RBT
1,0,219,110,1989,Johnsrud,RBT
1,0,146,35,1989,Johnsrud,RBT
1,0,270,180,1989,Johnsrud,RBT
1,0,247,130,1989,Johnsrud,RBT
1,0,242,145,1989,Johnsrud,RBT
1,0,166,55,1989,Johnsrud,RBT
1,0,171,55,1989,Johnsrud,RBT
1,0,198,80,1989,Johnsrud,RBT
1,0,155,45,1989,Johnsrud,RBT
1,0,115,20,1989,Johnsrud,RBT
1,0,136,30,1989,Johnsrud,RBT
1,0,190,80,1989,Johnsrud,RBT
1,0,160,45,1989,Johnsrud,RBT
1,0,176,65,1989,Johnsrud,RBT
1,0,138,35,1989,Johnsrud,RBT
1,0,149,45,1989,Johnsrud,RBT
1,0,168,50,1989,Johnsrud,RBT
1,0,167,55,1989,Johnsrud,RBT
1,0,189,70,1989,Johnsrud,RBT
1,0,178,75,1989,Johnsrud,RBT
1,0,231,140,1989,Johnsrud,RBT
1,0,242,145,1989,Johnsrud,RBT
1,0,182,65,1989,Johnsrud,RBT
1,0,161,55,1989,Johnsrud,RBT
1,0,132,30,1989,Johnsrud,RBT
1,0,172,65,1989,Johnsrud,RBT
1,0,163,50,1989,Johnsrud,RBT
1,0,167,55,1989,Johnsrud,RBT
1,0,171,50,1989,Johnsrud,RBT
1,0,189,35,1989,Johnsrud,RBT
1,0,245,135,1989,Johnsrud,RBT
1,0,262,160,1989,Johnsrud,RBT
1,0,164,45,1989,Johnsrud,RBT
1,0,178,55,1989,Johnsrud,RBT
1,0,128,25,1989,Johnsrud,RBT
1,0,137,30,1989,Johnsrud,RBT
1,0,156,35,1989,Johnsrud,RBT
1,0,132,25,1989,Johnsrud,RBT
1,0,159,40,1989,Johnsrud,RBT
1,0,158,40,1989,Johnsrud,RBT
1,0,124,20,1989,Johnsrud,RBT
1,0,79,10,1989,Johnsrud,RBT
1,0,99,10,1989,Johnsrud,RBT
1,0,81,10,1989,Johnsrud,RBT
1,0,172,55,1989,Johnsrud,RBT
1,0,142,10,1989,Johnsrud,RBT
1,0,138,25,1989,Johnsrud,RBT
1,0,143,30,1989,Johnsrud,RBT
1,0,163,50,1989,Johnsrud,RBT
1,0,97,15,1989,Johnsrud,RBT
1,0,137,30,1989,Johnsrud,RBT
1,0,150,15,1989,Johnsrud,RBT
1,0,173,50,1989,Johnsrud,RBT
1,0,182,70,1989,Johnsrud,RBT
1,0,164,45,1989,Johnsrud,RBT
1,0,147,40,1989,Johnsrud,RBT
1,0,137,25,1989,Johnsrud,RBT
1,0,153,40,1989,Johnsrud,RBT
1,0,137,25,1989,Johnsrud,RBT
1,0,136,25,1989,Johnsrud,RBT
1,0,107,10,1989,Johnsrud,RBT
1,0,140,30,1989,Johnsrud,RBT
1,0,150,35,1989,Johnsrud,RBT
1,0,92,10,1989,Johnsrud,RBT
1,0,90,10,1989,Johnsrud,RBT
2,1,220,NA,1989,Johnsrud,RBT
2,0,252,140,1989,Johnsrud,RBT
2,0,160,35,1989,Johnsrud,RBT
2,0,248,125,1989,Johnsrud,RBT
2,0,189,50,1989,Johnsrud,RBT
2,0,178,35,1989,Johnsrud,RBT
2,0,188,45,1989,Johnsrud,RBT
2,0,233,110,1989,Johnsrud,RBT
2,0,88,10,1989,Johnsrud,RBT
2,0,146,15,1989,Johnsrud,RBT
2,0,178,35,1989,Johnsrud,RBT
2,0,166,30,1989,Johnsrud,RBT
2,0,106,15,1989,Johnsrud,RBT
2,0,169,50,1989,Johnsrud,RBT
2,0,156,40,1989,Johnsrud,RBT
2,1,288,NA,1989,Johnsrud,RBT
2,0,147,35,1989,Johnsrud,RBT
2,0,152,30,1989,Johnsrud,RBT
2,0,146,40,1989,Johnsrud,RBT
2,0,133,25,1989,Johnsrud,RBT
2,0,93,255,1989,Johnsrud,RBT
2,0,163,55,1989,Johnsrud,RBT
2,0,142,50,1989,Johnsrud,RBT
2,0,123,20,1989,Johnsrud,RBT
2,0,150,35,1989,Johnsrud,RBT
2,1,162,NA,1989,Johnsrud,RBT
2,0,148,35,1989,Johnsrud,RBT
2,0,149,50,1989,Johnsrud,RBT
2,0,151,35,1989,Johnsrud,RBT
2,0,223,95,1989,Johnsrud,RBT
2,0,146,35,1989,Johnsrud,RBT
2,0,219,105,1989,Johnsrud,RBT
2,0,143,30,1989,Johnsrud,RBT
2,0,148,25,1989,Johnsrud,RBT
2,0,103,50,1989,Johnsrud,RBT
2,0,101,35,1989,Johnsrud,RBT
2,0,152,45,1989,Johnsrud,RBT
2,0,169,25,1989,Johnsrud,RBT
2,0,156,25,1989,Johnsrud,RBT
2,0,165,45,1989,Johnsrud,RBT
2,0,98,10,1989,Johnsrud,RBT
2,0,149,45,1989,Johnsrud,RBT
2,0,155,45,1989,Johnsrud,RBT
2,0,155,45,1989,Johnsrud,RBT
2,0,96,10,1989,Johnsrud,RBT
2,0,92,15,1989,Johnsrud,RBT
2,1,278,NA,1989,Johnsrud,RBT
2,0,184,40,1989,Johnsrud,RBT
2,0,187,50,1989,Johnsrud,RBT
2,0,169,35,1989,Johnsrud,RBT
2,0,159,25,1989,Johnsrud,RBT
2,1,202,NA,1989,Johnsrud,RBT
2,0,152,130,1989,Johnsrud,RBT
2,1,215,NA,1989,Johnsrud,RBT
2,1,182,NA,1989,Johnsrud,RBT
2,0,224,85,1989,Johnsrud,RBT
2,0,207,65,1989,Johnsrud,RBT
2,0,324,305,1989,Johnsrud,RBT
2,0,259,155,1989,Johnsrud,RBT
2,0,303,60,1989,Johnsrud,RBT
2,0,183,35,1989,Johnsrud,RBT
2,1,216,NA,1989,Johnsrud,RBT
2,1,196,NA,1989,Johnsrud,RBT
2,0,205,55,1989,Johnsrud,RBT
2,0,185,35,1989,Johnsrud,RBT
2,0,339,360,1989,Johnsrud,RBT
2,0,232,110,1989,Johnsrud,RBT
2,0,143,20,1989,Johnsrud,RBT
2,0,174,35,1989,Johnsrud,RBT
2,0,168,35,1989,Johnsrud,RBT
2,0,170,25,1989,Johnsrud,RBT
2,0,156,30,1989,Johnsrud,RBT
2,0,184,55,1989,Johnsrud,RBT
2,0,168,35,1989,Johnsrud,RBT
2,1,193,NA,1989,Johnsrud,RBT
2,1,174,NA,1989,Johnsrud,RBT
2,0,161,45,1989,Johnsrud,RBT
2,0,170,40,1989,Johnsrud,RBT
2,0,175,50,1989,Johnsrud,RBT
